tweet_id,retweet_count,favorite_count,text_letters_num,tweet_day,tweet_month,tweet_year
839290600511926273,150,0,111,Wed,Mar,2017
839239871831150596,6914,28219,51,Tue,Mar,2017
838952994649550848,4206,20338,46,Tue,Mar,2017
838921590096166913,2190,11598,112,Tue,Mar,2017
838916489579200512,36,0,95,Tue,Mar,2017
838831947270979586,11692,0,140,Mon,Mar,2017
838561493054533637,1401,11342,139,Mon,Mar,2017
838476387338051585,5083,23430,114,Sun,Mar,2017
838201503651401729,10680,0,140,Sun,Mar,2017
838150277551247360,353,1746,18,Sat,Mar,2017
838085839343206401,1,147,63,Sat,Mar,2017
838083903487373313,3341,18298,115,Sat,Mar,2017
837820167694528512,8315,35511,106,Sat,Mar,2017
837482249356513284,466,3986,132,Fri,Mar,2017
837471256429613056,2419,13278,127,Fri,Mar,2017
837366284874571778,5625,21992,114,Thu,Mar,2017
837110210464448512,2534,16659,80,Thu,Mar,2017
836989968035819520,2435,13218,127,Wed,Mar,2017
836753516572119041,4891,20023,129,Wed,Mar,2017
836677758902222849,2357,13118,130,Tue,Feb,2017
836648853927522308,578,0,140,Tue,Feb,2017
836397794269200385,29374,0,140,Tue,Feb,2017
836380477523124226,3153,15335,131,Tue,Feb,2017
836260088725786625,4546,22119,121,Mon,Feb,2017
836001077879255040,4547,19874,122,Sun,Feb,2017
835685285446955009,8653,0,140,Sun,Feb,2017
835574547218894849,3843,18526,113,Sat,Feb,2017
835536468978302976,1809,0,140,Sat,Feb,2017
835309094223372289,22325,0,88,Sat,Feb,2017
835297930240217089,3189,17101,138,Sat,Feb,2017
835264098648616962,1809,8043,139,Fri,Feb,2017
835246439529840640,77,2176,98,Fri,Feb,2017
835172783151792128,6102,27210,128,Fri,Feb,2017
835152434251116546,3206,23393,89,Fri,Feb,2017
834931633769889797,1752,11261,127,Fri,Feb,2017
834786237630337024,5846,22087,137,Thu,Feb,2017
834574053763584002,2687,14249,98,Thu,Feb,2017
834477809192075265,11362,0,139,Wed,Feb,2017
834458053273591808,1786,10001,141,Wed,Feb,2017
834209720923721728,5087,21462,102,Wed,Feb,2017
